DATE,Per Capita,Immigration Count,Inflation,Construction,Purchasing,Rent,Target
2006-11-01,86489.53930833333,2068360.25,5.572049999999999,2556.5,49.6,483.5,183.63099999999997
2006-12-01,94352.22469999999,2256393.0,6.0786,2555.8000000000006,49.6,484.9,183.229
2007-01-01,8051.689150000001,176063.08333333334,0.5576500000000001,2565.878,49.4,486.97,182.718
2007-02-01,16103.378300000002,352126.1666666667,1.1153000000000002,2572.869,49.1,488.88599999999997,182.47099999999998
2007-03-01,24155.067450000002,528189.25,1.6729500000000002,2586.393,48.7,490.359,182.19400000000002
2007-04-01,32206.756600000004,704252.3333333334,2.2306000000000004,2606.035,48.4,491.241,182.13099999999997
2007-05-01,40258.445750000006,880315.4166666667,2.7882500000000006,2594.665,48.1,492.81100000000004,181.88400000000001
2007-06-01,48310.134900000005,1056378.5,3.3459000000000003,2597.135,48.0,495.74800000000005,181.54
2007-07-01,56361.82405000001,1232441.5833333335,3.9035500000000005,2577.03,48.0,497.01599999999996,180.993
2007-08-01,64413.51320000001,1408504.6666666667,4.461200000000001,2566.662,48.1,497.899,180.234
2007-09-01,72465.20235,1584567.75,5.0188500000000005,2563.3380000000006,48.0,499.301,179.122
2007-10-01,80516.89150000001,1760630.8333333335,5.576500000000001,2558.5460000000003,47.9,500.24399999999997,177.53
2007-11-01,88568.58065000002,1936693.9166666667,6.134150000000001,2552.7490000000007,47.6,501.76800000000003,175.162
2007-12-01,96620.26980000001,2112757.0,6.691800000000001,2555.308,47.6,503.068,173.338
2008-01-01,7980.415783333333,172306.66666666666,0.2903,2574.0499999999997,47.4,505.16099999999994,171.077
2008-02-01,15960.831566666666,344613.3333333333,0.5806,2591.8339999999994,47.2,506.479,169.19099999999997
2008-03-01,23941.247349999998,516920.0,0.8709,2604.4850000000006,46.8,508.44100000000003,167.90400000000002
2008-04-01,31921.66313333333,689226.6666666666,1.1612,2659.216,46.5,510.481,167.324
2008-05-01,39902.078916666665,861533.3333333333,1.4515,2699.1890000000003,46.2,513.27,167.021
2008-06-01,47882.494699999996,1033840.0,1.7418,2738.716,45.7,517.8399999999999,166.537
2008-07-01,55862.91048333333,1206146.6666666665,2.0321,2765.8490000000006,45.5,521.349,165.713
2008-08-01,63843.32626666666,1378453.3333333333,2.3224,2787.495,45.6,522.787,164.27700000000002
2008-09-01,71823.74205,1550760.0,2.6127000000000002,2772.4650000000006,45.7,522.5409999999999,161.912
2008-10-01,79804.15783333333,1723066.6666666665,2.903,2734.943,46.2,522.152,159.16299999999998
2008-11-01,87784.57361666666,1895373.3333333333,3.1933,2708.262,47.1,522.106,156.072
2008-12-01,95764.98939999999,2067680.0,3.4836,2685.5769999999998,47.6,522.648,152.545
2009-01-01,7987.132208333333,152807.83333333334,0.10704166666666666,2683.722,47.4,524.201,149.363
2009-02-01,15974.264416666667,305615.6666666667,0.21408333333333332,2654.5409999999997,47.1,525.044,147.618
2009-03-01,23961.396625,458423.5,0.321125,2645.508,47.0,525.046,146.515
